,ticid,colpx,rowpx
69,168697482,1813.1672320208163,314.23596142907826
70,168702311,1761.8586755654412,247.13549482571955
71,168701968,1787.125893817172,347.75207251545976
72,168701900,1769.6331660963176,292.0430293474318
73,168697884,1801.568296817841,221.28200475470783
74,168697816,1800.9374962427962,282.5237256030962
75,168697716,1795.0685154520718,386.6170942573457
76,168697704,1800.256682420763,393.1626101114548
77,168697314,1803.365438288715,151.07002753310533
78,168676378,1828.0365843554273,59.27977837524709
79,168676038,1832.3059768563458,350.4327121359675
80,168675906,1871.8354120080307,436.93648414416964
81,168675905,1872.323697226973,436.6859201511379
82,168675713,1869.2050436643249,256.32820038160986
83,168675489,1864.244121007875,70.03493125450217
84,168675425,1844.258310508826,17.86072790982631
85,168673620,1872.610573540412,263.5756487538863
86,160116945,1770.8590036072624,570.9904107377075
87,152471978,1826.3468574083065,1702.101794653511
88,152471832,1824.6185335973794,1808.1305501496126
89,152469991,1835.4996935650418,1891.0145936568001
90,152469413,1852.4749975988811,1603.8680772856378
91,152469404,1857.4499313162091,1609.3832814227933
92,152469169,1851.1548823915614,1777.4186448609635
93,144180534,1899.878702169031,1979.310076211938
94,144180453,1889.3847218001447,1921.575412968376
95,144180444,1888.383874694459,1913.2082930017973
96,144180322,1883.3418081154587,1835.3857536934165
97,144180221,1885.520725252781,1767.5733403000233
98,144180210,1882.5595151305329,1759.049065556713
99,144166226,1891.227127018074,1563.3919046664566
100,144165863,1908.9386450150485,1819.602382210069
101,144165807,1916.6726500218772,1852.1100520953532
102,144165657,1908.1321949226353,1955.7902939750206
103,369392028,1909.3036499419632,848.8031116690827
104,369392117,1912.808263182955,921.8485515506065
105,369392324,1901.9264054130736,1107.7682862350578
106,369392363,1906.9155834166734,1142.189695082776
107,404484119,1872.6498744270284,1100.79405463149
108,404484609,1877.7741718389686,1470.879425409524
109,404507259,1801.9361809382208,1207.0286224554236
110,404508134,1782.81154597857,500.52780904163706
111,404507047,1818.5278991269754,1360.9463053535148
112,404506872,1818.5201658006847,1501.5504860967953
113,404506784,1829.825006981648,1483.368487880257
114,404506573,1822.0836109240527,1322.3658583450836
115,404506547,1838.9385236160883,1301.6009617618467
116,404486254,1808.6541255384275,621.8607100465922
117,404486165,1802.010759747607,554.1183760906989
118,404477913,1878.2542373183824,1069.9689995689134
119,404477873,1876.6477779576835,1097.0111429299002
120,404477305,1898.1749035316848,1521.6727205762095
121,369392676,1926.761646755956,1415.9758836934195
122,369392672,1907.970983841248,1410.1989337131374
123,404507825,1796.1293441711869,759.4955233514086
124,404507952,1777.2929853452058,667.865504125113
125,404506180,1815.5471234965946,1022.098797262275
